,our_shape_preds,our_preds_mfes,rnalib_shape_preds,rnalib_preds_mfes,seq_length,num_irs,num_variables,num_constraints,num_solver_iters,num_b_n_b_nodes,solution_time_msecs
834,((((......((((...........))))............(((......)))..((((((((..........))))...))))...((......))........)))).,-8.599999994039536,((((......((((((.......))))))...(((((((..((((....))))..((((((((.(......).))))...))))...)))))))...........)))).,-22.700000762939453,110,278,278,5032,41,1,206
835,....((((............(((....(((((...........)))).............))))).....((((.....)))))))...((...........))......,-8.90000019222498,.((.(((((((((((((((.......)))))))))).).....))))))((.(((........((((((.((((.....))))...)).))))..........))).)).,-21.799999237060547,110,257,257,4118,4,1,150
836,...........(((.(((...)))..)))..................(((....(((())).(((.......(((()))).........))))....)))..........,-17.040000081062317,(.((((((((.....(((((....)))))....))))..))))).......((((((..((.(((((((..((.(((((.....)))))))))))))).))...)))))),-32.70000076293945,110,286,286,5173,165,1,271
837,(((........((((........((((.)))....))))....(((...((((()))..........(((......)))................)))))))))......,-9.419999912381172,((..(((..((((((((.....(((.((((..(((((...........)))))...)))))))......))))))..............)).)))..))...........,-20.600000381469727,110,273,273,4676,24,1,192
838,.......(((...((((.....))))........)))............(((((..(((.((((((........))))))))...........))))))...........,-16.400000274181366,((((((.(((..((((..((((...)))).)))))))............(((((((((.(((...((((....))))...)))))........)))))))..))))))..,-22.299999237060547,110,274,274,4809,77,1,210
839,((((............)))).((((((((((..)))).....(((((....)))....((((........))))..)))))....((((.))).......))))......,-17.27999997138977,...(((((((((((..((((((....))))))..((((.((.((((((.((((((.(((....)))))))).).).))))).)))))).))))..)))))))........,-30.700000762939453,110,294,294,5342,74,1,220
840,..(((....(((((.......)))..((((..((........)).((((...)))).....)))))..................))))......(((...(((.)))....))).,-13.090000066906214,(((((........)))))....(((.(.((((((..((.((((..((((...))))....(((((((..........))))))).)))).))))))))).)))............,-27.899999618530273,115,279,279,4964,96,1,240
841,............(((...................))).(((((..(((((.)))))....((((...)))))......))))...((((((.....)))))).(((....)))..,-19.599999964237213,........((.(((((((((............(((((.....((.(((((..((((......)))).)))))))....)))))...(((((.....))))))))))).))).)).,-28.0,115,301,301,5354,47,1,218
842,....((((((................((.(((....))))))))))).((((.......(((((..)))...)).......))))..........(((.....))).........,-13.599999994039536,....((((((..(((((.((........)).)))))..)))))).(((((((...((.((((....)))).))........)))))))....((.(((.....))).))......,-31.0,115,303,303,5422,55,1,275
843,(((..(((()))(((((.((((((((......(((((..((..((())))..))))))....))).....))))).....)))))...)))).......................,-17.469999849796295,...((((((((((.....)))))...((......))...))))).((((((((((((...((((((((((...))).)).))))).)))).))))..))))..............,-26.299999237060547,115,324,324,6175,89,1,293
